username,classification,company,location,repos
0-k,utility,eliagroup,Germany,"gh:antaressimulatorteam/antares_simulator,gh:emlab/emlab-generation,gh:fzj-iek3-vsa/fine,gh:genxproject/genx.jl,gh:leonardgoeke/anymod.jl,gh:nrel-sienna/powersimulations.jl,gh:pypsa/pypsa"
007ML007,unknown,,,gh:future-power-networks/simplus-grid-tool
00Sleepy,professional,xept,Germany,gh:akkudoktor-eos/eos
00abed,unknown,,,gh:akkudoktor-eos/eos
00mjk,unknown,,,"gh:lanl-ansi/powermodels.jl,gh:mzy2240/esa,gh:natlabrockies/sam,gh:openego/ego"
0206lili,unknown,,,gh:etsap-times/times_model
04jonas,academic,,,gh:akkudoktor-eos/eos
09shubh,industry,,,"gh:blue-marble/gridpath,gh:pypsa/pypsa"
0UmfHxcvx5J7JoaOhFSs5mncnisTJJ6q,academic,potsdam institute for climate impact research,,gh:optimal2050/energyrt
0b11001111,unknown,,,gh:pypsa/pypsa
0luckyu,unknown,,,gh:emlab/emlab-generation
0quz,professional,hepsiburada,Canada,gh:nreca-bts/omf
0rcus13,unknown,,,gh:akkudoktor-eos/eos
0utl1er,professional,kwattz,United States,gh:pypsa/pypsa
0wenwu,academic,huazhong university of science and technology,,"gh:pypsa/pypsa,gh:rwl/pypower"
0wnway,unknown,,,"gh:assume-framework/assume,gh:flexigis/flexigis"
0wuxinyun,unknown,,United Kingdom,gh:critical-infrastructure-systems-lab/pownet
0x3W,academic,,Montenegro,"gh:e2niee/pandapower,gh:energy-modelling-toolkit/dispa-set"
0x48B,industry,microsoft,United States,gh:eiagov/bluesky
0x4D5352,industry,,United States,gh:akkudoktor-eos/eos
0x62646f727465,utility,reseau de transport d'electricite,France,gh:antaressimulatorteam/antares_simulator
0x6e3078,unknown,,,gh:akkudoktor-eos/eos
0xAplki,financial,xave-finance,,gh:energysystemsmodellinglab/muse_os
0xJchen,unknown,,,gh:grid2op/grid2op
0xevm1,industry,,United States,gh:lkruitwagen/global-fossil-fuel-supply-chain
0xf8,unknown,,,gh:temoaproject/temoa
0xifis,industry,fastmind,United Kingdom,gh:e2niee/pandapower
0xprav,unknown,,,gh:e2niee/pandapower
1-leo,unknown,,,gh:akkudoktor-eos/eos
1007724156,unknown,,,gh:prep-next/prep-shot
1024kilobyte,unknown,,,gh:akkudoktor-eos/eos
1024xingchen,unknown,,,"gh:grid2op/grid2op,gh:marvinler/pypownet,gh:pypsa/pypsa"
1029cxy,unknown,,,gh:matpower/matpower
10732003,academic,,,gh:e2niee/pandapower
1095295350,unknown,,,gh:natlabrockies/reeds-2.0
10mamai,unknown,,,gh:akkudoktor-eos/eos
1124562662,unknown,,,"gh:e2niee/pandapower,gh:grid2op/grid2op,gh:pypsa/pypsa"
1173558433,unknown,,,gh:ames-market/psst
120m4n,industry,electro software sas bic,Colombia,gh:e2niee/pandapower
1217720084,unknown,,,"gh:changgang/steps,gh:curent/andes,gh:e2niee/pandapower,gh:future-power-networks/simplus-grid-tool,gh:grid-parity-exchange/egret,gh:leonardgoeke/anymod.jl,gh:mbheinen/bpa-ipf-tsp,gh:niclasmattsson/supergrid,gh:nrel-sienna/powersimulations.jl,gh:sanpen/veragrid,gh:thales1330/psp,gh:youngfaithful/capacityexpansion.jl"
1234khawla,unknown,,,gh:osemosys/osemosys
123aerox,unknown,,,gh:akkudoktor-eos/eos
123tanji,unknown,,,gh:openipsl/openipsl
1245130203,unknown,,,gh:akkudoktor-eos/eos
1248988570,unknown,,,"gh:energy-modelling-toolkit/dispa-set,gh:natlabrockies/rodeo"
1270407948,unknown,,,gh:matpower/matpower
12ak,unknown,,,gh:opencemorg/opencem
12o13,industry,,Italy,gh:e2niee/pandapower
136PpmLis,unknown,,,gh:prep-next/prep-shot
14-5,unknown,,,gh:future-power-networks/simplus-grid-tool
14sea,unknown,,,"gh:adamgreenhall/minpower,gh:pypsa/pypsa,gh:rwl/pypower,gh:sanpen/veragrid,gh:susantoj/pypower-dynamics"
15151874182,unknown,,,"gh:e2niee/pandapower,gh:marvinler/pypownet,gh:matpower/matpower"
151707140,unknown,,,gh:curent/andes
1521237953,unknown,,,gh:prep-next/prep-shot
16214499888,unknown,,,gh:matpower/matpower
16Amps,unknown,,,gh:akkudoktor-eos/eos
17211226,unknown,,,gh:adgefficiency/energy-py
17638031880,unknown,,,gh:curent/andes
1765541567,unknown,,,"gh:slacgismo/tess,gh:tum-ewk/opentumflex"
179905380,unknown,,,gh:microgridspy/microgridspy
18223185572,academic,east china normal university,China,"gh:etsap-times/times_model,gh:niclasmattsson/supergrid,gh:pypsa/pypsa"
18thday,industry,,Russia,gh:matpower/matpower
1947724087,unknown,,,gh:matpower/matpower
1983stefan,unknown,,,gh:emlab/emlab-generation
1997030303,unknown,,,"gh:blue-marble/gridpath,gh:fabmid/open-energy-cell-simulation"
1998nina,unknown,,,gh:e2niee/pandapower
19JiayueZhou98,unknown,,,gh:prep-next/prep-shot
1H0,unknown,,,gh:lkruitwagen/global-fossil-fuel-supply-chain
1JunGu,academic,fudan university,United States,gh:erf-model/erf
1UEnergy,unknown,,,gh:pypsa/pypsa
1aonan,unknown,,,"gh:oemof/oemof-solph,gh:pypsa/pypsa"
