id,html_url,pypi_package_url,pypi_package_name,anaconda_package_url,julia_package_url,other_source,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05
adopt_net0,https://github.com/UU-ER/AdOpT-NET0,https://pypi.org/project/adopt_net0,adopt_net0,,,,,,,,,,,,,,,,
akkudoktoreos,https://github.com/Akkudoktor-EOS/EOS,,,,,,,,,,,,,,,,,,
amiris,https://gitlab.com/dlr-ve/esy/amiris/amiris,https://pypi.org/project/amirispy,amirispy,,,,,,,,,,,,,,,,
andes,https://github.com/CURENT/andes,https://pypi.org/project/andes,andes,,,,918.0,6007.0,7713.0,6251.0,6553.0,3178.0,5508.0,4074.0,5136.0,6402.0,12336.0,6937.0,7335.0
antares_simulator,https://github.com/AntaresSimulatorTeam/Antares_Simulator,,,,,,,,,,,,,,,,,,
anymod_jl,https://github.com/leonardgoeke/AnyMOD.jl,,,,,,,,,,,,,,,,,,
aristopy,https://git.tu-berlin.de/etus/public/aristopy,,,,,,,,,,,,,,,,,,
asam,https://github.com/AncillaryServicesAcquisitionModel/ASAM,,,,,,,,,,,,,,,,,,
asset_level_transition_risk_in_the_global_coal__oil__and_gas_supply_chains,https://github.com/Lkruitwagen/global-fossil-fuel-supply-chain,,,,,,,,,,,,,,,,,,
assume,https://github.com/assume-framework/assume,https://pypi.org/project/assume-framework,assume-framework,,,,230.0,1150.0,2073.0,1482.0,2572.0,1224.0,1339.0,1149.0,1499.0,1636.0,2164.0,1655.0,1043.0
balmorel,https://github.com/balmorelcommunity/Balmorel,,,,,,,,,,,,,,,,,,
bewhere_model,https://github.com/caaficus/BeWhere-model,,,,,,,,,,,,,,,,,,
bluesky,https://github.com/EIAgov/BlueSky,,,,,,,,,,,,,,,,,,
bridges,https://github.com/Stanford-EAO/BRIDGES,,,,,,,,,,,,,,,,,,
cairnopen,https://github.com/CEA-Liten/CairnOpen,,,,,,,,,,,,,,,,,,
calliope,https://github.com/calliope-project/calliope,https://pypi.org/project/calliope,calliope,https://anaconda.org/conda-forge/calliope,,,140.0,1352.0,1982.0,1517.0,1917.0,1451.0,8675.0,6345.0,3488.0,1280.0,2027.0,1528.0,1269.0
capacityexpansion_jl,https://github.com/YoungFaithful/CapacityExpansion.jl,,,,,,,,,,,,,,,,,,
capow,https://github.com/romulus97/CAPOW_PY36,,,,,,,,,,,,,,,,,,
chronix2grid,https://github.com/Grid2op/chronix2grid,,,,,,,,,,,,,,,,,,
cimapplication,https://github.com/derrickoswald/CIMApplication,,,,,,,,,,,,,,,,,,
copper,https://gitlab.com/sesit/copper,,,,,,,,,,,,,,,,,,
coral,https://github.com/NatLabRockies/CORAL,,,,,,,,,,,,,,,,,,
deeco,https://github.com/robbiemorrison/deeco,,,,,,,,,,,,,,,,,,
deflex,https://github.com/reegis/deflex,https://pypi.org/project/deflex,deflex,,,,20.0,325.0,353.0,364.0,383.0,352.0,252.0,207.0,339.0,273.0,349.0,258.0,204.0
dieter_py,https://gitlab.com/diw-evu/dieter_public/dieterpy,,,,,,,,,,,,,,,,,,
digripy,https://github.com/lvorspel/DiGriPy,https://pypi.org/project/digripy,digripy,,,,15.0,137.0,110.0,117.0,121.0,141.0,108.0,82.0,127.0,86.0,119.0,89.0,98.0
dispa_set,https://github.com/energy-modelling-toolkit/Dispa-SET,,,,,,,,,,,,,,,,,,
dispatches,https://github.com/gmlc-dispatches/dispatches,https://pypi.org/project/dispatches,dispatches,,,,46.0,463.0,344.0,378.0,570.0,450.0,383.0,268.0,528.0,319.0,519.0,379.0,313.0
distaix,https://git.rwth-aachen.de/acs/public/simulation/DistAIXFramework/distaix,,,,,,,,,,,,,,,,,,
dpsim,https://github.com/sogno-platform/dpsim,https://pypi.org/project/dpsim,dpsim,,,,60.0,628.0,580.0,661.0,942.0,1410.0,439.0,366.0,591.0,342.0,539.0,421.0,349.0
draf,https://github.com/DrafProject/draf,,,,,,,,,,,,,,,,,,
dss_capi,https://github.com/dss-extensions/dss_capi,,,,,,,,,,,,,,,,,,
dynawo,https://github.com/dynawo/dynawo,,,,,,,,,,,,,,,,,,
e4st,https://github.com/e4st-dev/E4ST.jl,,,,,,,,,,,,,,,,,,
easy_simauto,https://github.com/mzy2240/ESA,https://pypi.org/project/esa,esa,,,,137.0,2060.0,1990.0,1606.0,3288.0,1925.0,2068.0,1485.0,2889.0,1772.0,2141.0,2032.0,1715.0
edisgo,https://github.com/openego/eDisGo,https://pypi.org/project/edisgo,edisgo,,,,31.0,369.0,355.0,325.0,510.0,499.0,3499.0,1487.0,1090.0,354.0,435.0,340.0,326.0
ego,https://github.com/openego/eGo,https://pypi.org/project/ego,ego,,,,32.0,242.0,206.0,216.0,254.0,278.0,199.0,190.0,269.0,195.0,258.0,214.0,205.0
egret,https://github.com/grid-parity-exchange/Egret,https://pypi.org/project/gridx-egret,gridx-egret,,,,137.0,3000.0,2093.0,880.0,1565.0,1246.0,2223.0,1495.0,1406.0,518.0,412.0,463.0,325.0
electricgrid_jl,https://github.com/upb-lea/ElectricGrid.jl,,,,,,,,,,,,,,,,,,
em_power_invest,https://github.com/BTU-EnerEcon/EM.POWER-INVEST,,,,,,,,,,,,,,,,,,
emerge,https://github.com/NatLabRockies/EMeRGE,,,,,,,,,,,,,,,,,,
emlab_generation,https://github.com/EMLab/emlab-generation,,,,,,,,,,,,,,,,,,
emma,https://github.com/emma-model/EMMA,,,,,,,,,,,,,,,,,,
emprise,https://github.com/philipphaertel/EMPRISE,,,,,,,,,,,,,,,,,,
energy_policy_simulator,https://github.com/EnergyInnovation/eps-us,,,,,,,,,,,,,,,,,,
energy_py,https://github.com/ADGEfficiency/energy-py,,,,,,,,,,,,,,,,,,
energy_py_linear,https://github.com/ADGEfficiency/energy-py-linear,,,,,,,,,,,,,,,,,,
energymodelsbase_jl,https://github.com/EnergyModelsX/EnergyModelsBase.jl,,,,,,,,,,,,,,,,,,
energyrt,https://github.com/optimal2050/energyRt,,,,,,,,,,,,,,,,,,
energyscope,https://github.com/energyscope/EnergyScope,,,,,,,,,,,,,,,,,,
energyscope_library,https://gitlab.com/energyscope/energyscope,https://pypi.org/project/energyscope,energyscope,,,,32.0,553.0,1161.0,608.0,473.0,574.0,912.0,809.0,772.0,374.0,154.0,104.0,135.0
energysim,https://github.com/dgusain1/energysim,https://pypi.org/project/energysim,energysim,,,,21.0,637.0,549.0,430.0,839.0,824.0,699.0,503.0,714.0,484.0,793.0,640.0,541.0
enflow,https://github.com/rebase-energy/emflow,,,,,,,,,,,,,,,,,,
eoles_elecres,https://github.com/BehrangShirizadeh/EOLES_elecRES,,,,,,,,,,,,,,,,,,
eoles_mv,https://github.com/BehrangShirizadeh/EOLES_mv,,,,,,,,,,,,,,,,,,
epm,https://github.com/ESMAP-World-Bank-Group/EPM,,,,,,,,,,,,,,,,,,
erad,https://github.com/NLR-Distribution-Suite/erad,https://pypi.org/project/nrel-erad,nrel-erad,,,,186.0,1474.0,1265.0,1454.0,1176.0,778.0,1063.0,968.0,1083.0,1164.0,1000.0,204.0,196.0
erf,https://github.com/erf-model/ERF,,,,,,,,,,,,,,,,,,
essim,https://github.com/ESDLMapEditorESSIM/essim,,,,,,,,,,,,,,,,,,
etengine,https://github.com/quintel/etengine,,,,,,,,,,,,,,,,,,
etm_pro,https://github.com/quintel/etmodel,,,,,,,,,,,,,,,,,,
exago,https://github.com/pnnl/ExaGO,,,,,,,,,,,,,,,,,,
fame,https://gitlab.com/fame-framework/fame-core,,,,,https://central.sonatype.com/artifact/de.dlr.gitlab.fame/core,,,,,,,,,,,,,
ficus,https://github.com/tum-ewk/ficus,,,,,,,,,,,,,,,,,,
fine,https://github.com/FZJ-IEK3-VSA/FINE,https://pypi.org/project/fine,fine,https://anaconda.org/conda-forge/fine,,,60.0,1089.0,1229.0,964.0,1192.0,1025.0,10442.0,8420.0,4082.0,1112.0,1547.0,2122.0,1238.0
flexigis,https://github.com/FlexiGIS/FlexiGIS,,,,,,,,,,,,,,,,,,
flexplan_jl,https://github.com/Electa-Git/FlexPlan.jl,,,,,,,,,,,,,,,,,,
flixopt,https://github.com/flixOpt/flixopt,https://pypi.org/project/flixopt,flixopt,,,,412.0,2924.0,3577.0,4420.0,7147.0,4128.0,6927.0,4363.0,2296.0,527.0,1544.0,642.0,781.0
fluxopt,https://github.com/FBumann/fluxopt,https://pypi.org/project/fluxopt,fluxopt,,,,15.0,135.0,456.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
friendlysam,https://github.com/sp-etx/friendlysam,https://pypi.org/project/friendlysam,friendlysam,,,,39.0,611.0,601.0,179.0,244.0,294.0,582.0,191.0,336.0,164.0,241.0,265.0,184.0
gear_scoup,https://github.com/NatLabRockies/GEAR-SCouP,,,,,,,,,,,,,,,,,,
gelectrical,https://github.com/manuvarkey/GElectrical,,,,,,,,,,,,,,,,,,
genesys_mod_gms,https://github.com/GENeSYS-MOD/GENeSYS_MOD.gms,,,,,,,,,,,,,,,,,,
genesysmod_jl,https://github.com/GENeSYS-MOD/GENeSYSMOD.jl,,,,,,,,,,,,,,,,,,
genx_jl,https://github.com/GenXProject/GenX.jl,,,,,,,,,,,,,,,,,,
grid2op,https://github.com/Grid2op/grid2op,https://pypi.org/project/grid2op,grid2op,,,,333.0,5072.0,3393.0,3991.0,4088.0,4738.0,23618.0,7460.0,17024.0,10369.0,5882.0,5637.0,5858.0
gridfm,https://github.com/gridfm/gridfm-graphkit,https://pypi.org/project/gridfm-graphkit,gridfm-graphkit,,,,9.0,420.0,285.0,224.0,340.0,335.0,387.0,332.0,1099.0,740.0,319.0,631.0,0.0
gridlab_d,https://github.com/arras-energy/gridlabd,,,,,,,,,,,,,,,,,,
gridpack,https://github.com/GridOPTICS/GridPACK,,,,,,,,,,,,,,,,,,
gridpath,https://github.com/blue-marble/gridpath,https://pypi.org/project/gridpath,gridpath,,,,296.0,2290.0,2451.0,1830.0,2028.0,1640.0,1737.0,2387.0,1968.0,1115.0,1556.0,1197.0,1043.0
grimsel_flex,https://github.com/arthurrinaldi/grimsel,,,,,,,,,,,,,,,,,,
h2integrate,https://github.com/NatLabRockies/H2Integrate,https://pypi.org/project/h2integrate,h2integrate,,,,62.0,1564.0,1440.0,651.0,367.0,906.0,163.0,473.0,141.0,123.0,171.0,119.0,505.0
hamlet,https://github.com/tum-ens/HAMLET,,,,,,,,,,,,,,,,,,
heron,https://github.com/idaholab/HERON,https://pypi.org/project/heron-ravenframework,heron-ravenframework,,,,16.0,271.0,174.0,140.0,189.0,251.0,164.0,143.0,199.0,173.0,232.0,227.0,173.0
highres_europe,https://github.com/highRES-model/highRES-Europe,,,,,,,,,,,,,,,,,,
hope,https://github.com/HOPE-Model-Project/HOPE,,,,,,,,,,,,,,,,,,
hopp,https://github.com/NatLabRockies/HOPP,,,,,,,,,,,,,,,,,,
hybrid,https://github.com/idaholab/HYBRID,,,,,,,,,,,,,,,,,,
hybridbosse,https://github.com/NatLabRockies/HybridBOSSE,,,,,,,,,,,,,,,,,,
hydrogenmod_jl,https://github.com/LukasBarner/HydrOGEnMod.jl,,,,,,,,,,,,,,,,,,
idea,https://gitlab.com/sesit/idea,,,,,,,,,,,,,,,,,,
iesopt_jl,https://github.com/ait-energy/IESopt.jl,,,,,,,,,,,,,,,,,,
inertia,https://github.com/G-PST/inertia,,,,,https://pkg.go.dev/github.com/G-PST/inertia,,,,,,,,,,,,,
interactive_power_flow_(ipf),https://github.com/mbheinen/bpa-ipf-tsp,,,,,,,,,,,,,,,,,,
inve2st,https://github.com/CSenkpiel/Inve2st,,,,,,,,,,,,,,,,,,
irena_flextool,https://github.com/irena-flextool/flextool,,,,,,,,,,,,,,,,,,
irpopt,https://github.com/IRPsim/IRPopt,,,,,,,,,,,,,,,,,,
joulia_jl,https://github.com/JuliaEnergy/Joulia.jl,,,,,,,,,,,,,,,,,,
jpong,https://github.com/RahmanKhorramfar91/JPoNG,,,,,,,,,,,,,,,,,,
leelo,https://github.com/simjunky/Leelo,,,,,,,,,,,,,,,,,,
lego,https://github.com/IEE-TUGraz/LEGO,,,,,,,,,,,,,,,,,,
macroenergy_jl,https://github.com/macroenergy/MacroEnergy.jl,,,,,,,,,,,,,,,,,,
mafrit,https://github.com/NatLabRockies/MAFRIT,,,,,,,,,,,,,,,,,,
match_model,https://github.com/pencleanenergy/MATCH-model,,,,,,,,,,,,,,,,,,
matpower,https://github.com/MATPOWER/matpower,,,,,,,,,,,,,,,,,,
medea,https://github.com/inwe-boku/medea,,,,,,,,,,,,,,,,,,
mescal,https://github.com/matthieu-str/mescal,https://pypi.org/project/mescal,mescal,,,,14.0,399.0,499.0,321.0,288.0,359.0,271.0,365.0,425.0,191.0,372.0,192.0,183.0
mesmo,https://github.com/mesmo-dev/mesmo,,,,,,,,,,,,,,,,,,
message_ix,https://github.com/iiasa/message_ix,https://pypi.org/project/message-ix,message-ix,https://anaconda.org/conda-forge/message-ix,,,258.0,2200.0,2024.0,1809.0,1718.0,1837.0,11141.0,3804.0,6695.0,1953.0,2006.0,2556.0,2162.0
messpy,https://github.com/pielube/MESSpy,,,,,,,,,,,,,,,,,,
microgrids_py,https://github.com/Microgrids-X/Microgrids.py,https://pypi.org/project/microgrids,microgrids,,,,5.0,303.0,201.0,229.0,208.0,217.0,201.0,171.0,251.0,230.0,234.0,224.0,182.0
microgridspy,https://github.com/MicroGridsPy/MicroGridsPy,,,,,,,,,,,,,,,,,,
minigrid_jcc,https://github.com/Autarky-Power/Minigrid-JCC,,,,,,,,,,,,,,,,,,
minpower,https://github.com/adamgreenhall/minpower,https://pypi.org/project/minpower,minpower,,,,15.0,1043.0,541.0,442.0,732.0,680.0,669.0,590.0,618.0,526.0,534.0,492.0,368.0
mosaik,https://gitlab.com/mosaik/mosaik,https://pypi.org/project/mosaik,mosaik,,,,201.0,2514.0,1377.0,1866.0,1788.0,2220.0,2577.0,1891.0,3695.0,1992.0,1870.0,2218.0,1632.0
most,https://github.com/MATPOWER/most,,,,,,,,,,,,,,,,,,
multi_vector_simulator,https://github.com/rl-institut/multi-vector-simulator,https://pypi.org/project/multi-vector-simulator,multi-vector-simulator,,,,48.0,2926.0,1322.0,1644.0,1786.0,2000.0,1509.0,1701.0,3116.0,2640.0,2524.0,2855.0,2081.0
muse2,https://github.com/EnergySystemsModellingLab/MUSE2,,,,,https://crates.io/crates/muse2,,,,,,,,,,,,,
muse_os,https://github.com/EnergySystemsModellingLab/MUSE_OS,,,,,,,,,,,,,,,,,,
nemo,https://github.com/bje-/NEMO,,,,,,,,,,,,,,,,,,
nemomod_jl,https://github.com/sei-international/NemoMod.jl,,,,,,,,,,,,,,,,,,
nempy,https://github.com/UNSW-CEEM/nempy,https://pypi.org/project/nempy,nempy,,,,79.0,1365.0,1203.0,1045.0,1060.0,1324.0,1732.0,1408.0,3360.0,1922.0,1917.0,3114.0,2765.0
oemof_solph,https://github.com/oemof/oemof-solph,https://pypi.org/project/oemof.solph,oemof.solph,,,,,,,,,,,,,,,,
oemof_thermal,https://github.com/oemof/oemof-thermal,,,,,,,,,,,,,,,,,,
omegalpes,https://gricad-gitlab.univ-grenoble-alpes.fr/omegalpes/omegalpes,,,,,,,,,,,,,,,,,,
onsset,https://github.com/OnSSET/onsset,https://pypi.org/project/onsset,onsset,,,,8.0,339.0,205.0,330.0,224.0,221.0,239.0,228.0,1973.0,195.0,244.0,215.0,193.0
open,https://github.com/EPGOxford/OPEN,,,,,,,,,,,,,,,,,,
open_energy_cell_simulation,https://github.com/fabmid/Open-Energy-Cell-Simulation,,,,,,,,,,,,,,,,,,
open_modeling_framework,https://github.com/nreca-bts/omf,,,,,,,,,,,,,,,,,,
opencem,https://github.com/openCEMorg/openCEM,,,,,,,,,,,,,,,,,,
opender,https://github.com/epri-dev/OpenDER,https://pypi.org/project/opender,opender,,,,273.0,3214.0,3205.0,2090.0,772.0,1060.0,1517.0,1222.0,1546.0,4061.0,1396.0,1428.0,1440.0
opendss_c,https://github.com/epri-dev/OpenDSS-C,,,,,,,,,,,,,,,,,,
openipsl,https://github.com/OpenIPSL/OpenIPSL,,,,,,,,,,,,,,,,,,
openmaster,https://github.com/IIT-EnergySystemModels/openMASTER,,,,,,,,,,,,,,,,,,
opensduc,https://github.com/IIT-EnergySystemModels/openSDUC,,,,,,,,,,,,,,,,,,
opentepes,https://github.com/IIT-EnergySystemModels/openTEPES,,,,,,,,,,,,,,,,,,
opentumflex,https://github.com/tum-ewk/OpenTUMFlex,,,,,,,,,,,,,,,,,,
optihood,https://github.com/SPF-OST/optihood,,,,,,,,,,,,,,,,,,
osemosys,https://github.com/OSeMOSYS/OSeMOSYS,,,,,,,,,,,,,,,,,,
osier,https://github.com/arfc/osier,https://pypi.org/project/osier,osier,,,,,,,,,,,,,,,,
pandapower,https://github.com/e2nIEE/pandapower,https://pypi.org/project/pandapower,pandapower,,,,13151.0,115007.0,119692.0,100477.0,71105.0,107730.0,156811.0,103370.0,103381.0,61575.0,47932.0,31540.0,33095.0
paraemt_public,https://github.com/NatLabRockies/ParaEMT_public,,,,,,,,,,,,,,,,,,
pomato,https://github.com/richard-weinhold/pomato,,,,,,,,,,,,,,,,,,
power_grid_model,https://github.com/PowerGridModel/power-grid-model,https://pypi.org/project/power-grid-model,power-grid-model,,,,17486.0,399233.0,153112.0,167084.0,200147.0,136556.0,97225.0,91052.0,149466.0,157459.0,118509.0,120604.0,114503.0
powerdynamics_jl,https://github.com/JuliaEnergy/PowerDynamics.jl,,,,,,,,,,,,,,,,,,
powergama,https://github.com/powergama/powergama,https://pypi.org/project/powergama,powergama,,,,36.0,681.0,667.0,979.0,1124.0,980.0,865.0,673.0,3554.0,877.0,469.0,255.0,265.0
powermatcher,https://github.com/flexiblepower/powermatcher,,,,,,,,,,,,,,,,,,
powermodels_jl,https://github.com/lanl-ansi/PowerModels.jl,,,,,,,,,,,,,,,,,,
powermodelsannex_jl,https://github.com/lanl-ansi/PowerModelsAnnex.jl,,,,,,,,,,,,,,,,,,
powersimulations_jl,https://github.com/Sienna-Platform/PowerSimulations.jl,,,,,,,,,,,,,,,,,,
powersimulationsdynamics_jl,https://github.com/Sienna-Platform/PowerSimulationsDynamics.jl,,,,,,,,,,,,,,,,,,
powersystemdatamodel,https://github.com/ie3-institute/PowerSystemDataModel,,,,,https://central.sonatype.com/artifact/com.github.ie3-institute/PowerSystemDataModel,,,,,,,,,,,,,
powersystemsinvestments_jl,https://github.com/Sienna-Platform/PowerSystemsInvestments.jl,,,,,,,,,,,,,,,,,,
pownet,https://github.com/Critical-Infrastructure-Systems-Lab/PowNet,https://pypi.org/project/pownet,pownet,,,,20.0,109.0,87.0,97.0,73.0,166.0,98.0,76.0,110.0,103.0,121.0,342.0,51.0
powsybl,https://github.com/powsybl/powsybl-core,,,,,https://central.sonatype.com/artifact/com.powsybl/powsybl-iidm-impl,,,,,,,,,,,,,
powsybl_open_load_flow,https://github.com/powsybl/powsybl-open-loadflow,,,,,https://central.sonatype.com/artifact/com.powsybl/powsybl-open-loadflow,,,,,,,,,,,,,
pras,https://github.com/NatLabRockies/PRAS,,,,,,,,,,,,,,,,,,
prep_shot,https://github.com/PREP-NexT/PREP-SHOT,,,,,,,,,,,,,,,,,,
psatools_python,https://github.com/yanzhaochang/PSATools-Python,,,,,,,,,,,,,,,,,,
psp_ufu,https://github.com/Thales1330/PSP,,,,,,,,,,,,,,,,,,
psst,https://github.com/ames-market/psst,,,,,,,,,,,,,,,,,,
pycity_scheduling,https://git.rwth-aachen.de/acs/public/simulation/pycity_scheduling,,,,,,,,,,,,,,,,,,
pyetm,https://github.com/quintel/pyetm,,,,,,,,,,,,,,,,,,
pylesa,https://github.com/andrewlyden/PyLESA,,,,,,,,,,,,,,,,,,
pymarket,https://github.com/kiedanski/pymarket,,,,,,,,,,,,,,,,,,
pymfm,https://github.com/sogno-platform/pymfm,https://pypi.org/project/pymfm,pymfm,,,,42.0,217.0,132.0,158.0,126.0,178.0,151.0,133.0,210.0,162.0,159.0,146.0,164.0
pymicrogridcontrol,https://github.com/soheilmohseni/pyMicrogridControl,,,,,,,,,,,,,,,,,,
